,Word,Count
22,the,10051
52,to,8119
16,,7127
26,and,6203
7,a,6101
46,of,5747
205,is,5650
1,realDonaldTrump,5489
14,in,5414
3,for,5282
27,I,4330
18,you,4065
33,on,3920
94,be,3312
276,will,2869
327,Trump,2766
6,are,2592
11,that,2541
75,with,2369
274,The,2356
105,it,2204
366,at,2155
151,have,2137
182,amp,2045
44,great,2031
220,our,1745
38,my,1608
485,not,1548
30,was,1540
536,by,1504
92,this,1480
253,has,1454
41,all,1393
17,Thank,1381
512,your,1358
12,we,1206
130,from,1166
45,people,1159
423,he,1149
382,Donald,1111
125,just,1111
233,Thanks,1111
150,We,1104
57,me,1088
571,so,1054
259,who,1043
180,as,1008
531,they,1007
278,his,987
320,out,987
269,would,977
347,Great,971
314,about,971
291,but,958
1041,do,958
386,Obama,948
173,President,940
187,RT,893
8,very,889
272,get,872
407,an,840
70,can,832
466,more,823
481,like,819
311,should,815
385,what,788
541,time,784
54,now,780
129,up,779
66,country,759
100,one,751
516,than,731
396,America,717
248,US,716
119,A,708
211,or,696
254,no,678
426,He,676
120,good,656
5,You,646
301,been,644
294,back,638
245,going,632
4,president,619
68,run,616
35,their,614
486,only,604
567,dont,597
556,big,593
852,many,587
501,new,586
1449,It,581
13,need,573
533,never,570
370,if,562
393,make,561
292,when,560
428,much,558
391,If,549
644,over,548
37,am,541
503,best,536
789,want,522
444,them,514
1584,us,506
349,today,502
420,him,502
131,last,501
1150,job,500
464,see,498
614,its,496
177,Hillary,493
532,were,481
475,They,478
500,My,474
570,being,471
607,Trump2016,470
1524,vote,465
28,must,464
1641,there,462
792,love,461
794,doing,459
312,really,458
1379,years,454
60,New,446
360,had,445
372,know,442
834,how,441
845,work,436
799,Im,430
1297,even,429
438,tonight,427
832,show,420
1159,American,417
39,way,416
1464,think,415
65,This,415
270,go,412
91,into,403
284,ever,401
651,Just,401
788,right,396
96,Democrats,395
1809,GREAT,394
448,FoxNews,393
1042,better,387
660,because,387
706,said,382
899,win,381
361,bad,379
642,Mr,378
1473,So,374
1696,cant,374
1496,day,374
1108,BarackObama,366
1935,foxandfriends,365
266,night,362
1540,did,361
265,again,359
179,her,357
894,made,352
32,done,348
717,2016,347
1626,China,346
394,hard,345
592,down,343
1196,interview,343
518,other,340
498,money,337
216,take,333
193,Will,333
835,No,329
174,Clinton,325
1361,which,325
730,first,323
918,Via,322
768,Why,322
10,man,321
104,most,318
997,forward,317
3386,world,313
908,true,311
559,got,311
876,In,307
1525,real,305
563,always,303
568,why,302
290,after,302
107,News,301
230,What,301
67,needs,300
1078,say,299
90,look,297
1768,House,296
424,nice,292
340,AMERICA,292
878,deal,290
702,MakeAmericaGreatAgain,288
31,well,287
756,Its,287
962,against,286
354,Our,285
1424,CNN,283
1450,amazing,279
1305,business,278
247,jobs,276
2116,could,270
1253,Apprentice,266
472,next,266
2074,total,265
517,any,260
1246,year,259
1053,United,256
97,course,256
158,CelebApprentice,255
106,Fake,254
145,cont,252
538,campaign,252
1462,long,251
1946,ObamaCare,250
594,before,249
374,tomorrow,248
1982,Border,247
414,support,246
786,give,246
42,soon,245
1168,National,244
1590,ApprenticeNBC,243
427,doesnt,242
221,Country,242
1852,TRUMP,242
442,she,242
1306,things,241
1054,States,241
1177,Republican,241
71,watch,240
975,Very,239
1081,hope,239
2154,some,239
897,every,237
109,believe,237
246,keep,235
2330,stop,234
116,Republicans,234
102,media,234
539,far,231
363,where,229
947,When,229
994,honor,229
1989,working,228
141,does,226
526,Big,226
549,GOP,226
2188,another,224
749,via,224
1779,State,223
1171,Congratulations,223
776,then,221
305,wonderful,221
796,come,221
421,election,220
176,Crooked,218
1333,USA,218
564,strong,217
142,nothing,217
710,guy,215
249,totally,215
262,two,215
47,North,214
603,Good,214
956,record,214
1810,AGAIN,211
2982,MAKE,210
1868,Dont,209
885,off,208
1339,smart,207
1219,Now,207
489,youre,206
815,help,205
1767,White,205
61,York,203
1961,thanks,203
232,book,203
335,too,202
554,running,202
983,Wow,201
612,place,200
1353,news,200
920,Americans,199
1127,agree,198
2510,morning,198
2863,coming,198
2126,debate,198
1386,wait,197
2122,economy,196
2656,golf,196
1072,getting,195
2170,How,192
5169,everyone,192
1534,didnt,191
1578,True,191
2485,looking,191
977,Washington,189
1614,speech,189
2157,MittRomney,188
701,wants,187
93,There,187
998,making,186
1499,fantastic,185
1161,put,185
632,beautiful,184
1557,life,184
681,thank,184
1426,these,184
619,success,184
1254,1,184
1488,history,182
682,Make,181
98,Russia,181
1469,thing,181
856,such,180
4846,ratings,179
1609,All,177
1107,since,177
2794,Dems,176
889,others,176
157,season,174
3291,Wall,174
1296,People,173
212,let,173
431,Watch,171
1559,Please,171
1837,Be,170
82,here,170
1112,Not,169
620,under,169
1651,John,169
1007,also,168
348,meeting,168
683,sure,168
392,tough,167
877,Iran,167
1786,still,166
1939,numbers,166
1203,wont,166
257,To,166
326,says,166
2487,THE,166
780,2,166
401,Get,166
806,please,165
1124,week,165
306,person,165
227,Think,163
1594,FBI,163
2694,Happy,163
1438,lot,163
1012,talk,162
513,own,162
1095,story,161
922,With,161
995,poll,160
258,those,160
1175,Florida,160
628,yesterday,160
34,both,159
807,Ill,159
110,won,159
1634,And,159
985,top,158
915,Senate,157
2013,IvankaTrump,157
15,office,156
1791,Cruz,156
2787,Obamas,156
1423,But,155
1519,terrible,155
1062,family,155
296,She,155
1743,live,154
2428,YOU,154
1687,Iowa,154
793,watching,153
669,Bush,153
2630,something,152
2241,Today,152
1752,same,151
325,NBC,150
2910,Looking,150
791,yet,150
879,4,150
416,DC,150
973,use,149
646,million,148
719,proud,147
419,called,147
2623,through,146
1695,during,146
1046,Korea,146
234,luck,146
1413,start,146
371,u,146
895,lost,145
1252,Celebrity,145
1217,Lets,145
2521,end,145
1631,government,145
779,pay,145
1930,read,144
1200,PM,144
357,leader,143
3452,truly,143
473,Congress,143
1599,bring,143
480,yourself,142
2924,high,141
317,disaster,141
447,Deal,141
3836,already,141
417,Bill,141
300,For,141
2275,discussing,141
333,saying,140
966,together,140
718,happen,140
692,As,139
629,while,139
190,Do,138
649,Tower,138
1008,told,137
2559,until,137
1088,without,137
1623,major,137
56,Join,136
2426,Military,136
507,anyone,136
1611,Again,136
3823,tax,135
3670,change,135
769,5,135
1334,having,134
1622,ready,134
413,DonaldTrump,134
3464,attack,134
1063,Enjoy,134
2868,Entrepreneurs,133
264,ago,133
610,Scotland,133
3368,crowd,133
557,fight,133
293,hit,133
3292,Security,133
2451,illegal,132
1341,hear,132
870,military,132
515,important,131
3043,Mexico,131
1489,Ive,131
3364,w,131
1071,Thats,130
1582,fact,130
1118,ISIS,130
823,building,129
1581,respect,129
339,away,129
3289,Media,129
341,become,129
529,Party,129
1401,everything,128
1667,anything,128
1347,Fox,128
2209,Love,128
2769,Golf,127
690,leadership,127
243,words,127
4904,POTUS,127
315,massive,126
736,That,126
462,Web,126
2588,someone,126
558,candidate,126
3125,Macys,126
1180,Senator,125
802,uc0u55357,125
1017,hes,125
1104,fast,124
2511,around,124
25,special,124
2658,10,124
1690,interviewed,124
1440,left,123
3375,knows,123
1849,Chicago,123
1607,Keep,123
3461,trade,123
2558,Cant,123
1676,Trumps,122
1842,Is,122
2244,WhiteHouse,121
1432,100,121
40,See,120
1070,border,120
1045,South,120
2,trump,120
400,Time,119
1628,political,119
228,Like,119
2604,Remember,118
771,countries,118
1003,World,118
2380,hotel,118
765,dollars,118
362,call,117
118,MAGA,117
1193,else,117
2179,greatest,116
48,Carolina,116
1206,wrong,116
1647,friend,116
1068,talking,116
163,3,116
2259,leaders,116
2755,problem,115
2278,Hunt,114
2277,Witch,114
1790,Many,114
2365,One,114
3681,Your,113
373,care,113
1172,Governor,113
4062,gave,113
1673,On,113
1019,polls,112
133,lead,112
1397,truth,112
1410,including,112
757,failing,112
275,successful,112
111,winning,112
831,Go,111
2030,may,111
2319,Yes,111
3221,women,110
735,times,110
1898,used,110
3566,loves,109
1399,immigration,109
613,once,109
2340,taking,108
2844,fix,108
685,VOTE,108
595,game,108
2795,taxes,107
2132,economic,107
5859,trying,107
1011,Jeb,107
3215,happy,107
639,law,107
446,Art,107
1468,worst,106
4957,AM,106
1835,incredible,106
1757,Vote,106
467,Iraq,106
778,Trade,106
1672,awesome,105
167,badly,105
5072,save,105
1372,looks,105
2723,Best,104
1447,Doral,104
2128,almost,104
465,9,104
4420,tell,104
6076,days,104
2237,worse,103
1182,find,103
2223,Day,103
957,debt,103
1249,order,102
1515,little,102
3960,enough,102
1013,chance,102
767,energy,102
207,continue,101
2824,home,101
1838,problems,101
355,weak,100
609,future,100
72,full,100
1406,Rubio,100
4347,focus,100
1962,seanhannity,100
961,low,100
1250,dishonest,100
1867,seen,99
2925,crime,99
124,Poll,99
1701,spending,99
4521,friends,98
1000,Post,98
4103,Ted,98
700,sad,98
707,biggest,97
555,Ohio,97
2251,Miss,97
1247,old,97
2933,finally,97
3403,gets,97
2688,General,97
586,fired,97
1032,makes,97
1484,Syria,96
1205,security,96
1272,close,96
1031,Never,96
714,team,95
678,rally,95
2697,Hes,95
287,megynkelly,95
3273,public,95
1756,First,95
2258,stupid,94
1094,nytimes,94
4473,thought,94
1728,shows,94
2484,EricTrump,93
2632,name,93
1924,plan,93
2813,NYC,93
4727,TV,92
1197,oreillyfactor,92
2706,tremendous,92
1411,failed,92
1822,thats,92
1378,remember,92
1688,fun,92
511,mind,92
453,cannot,91
7400,stand,91
2790,Tax,91
4565,mess,91
2901,BarackObamas,91
411,God,91
4123,play,91
1455,stay,91
1151,report,90
1434,victory,90
86,Election,90
708,fan,89
4061,millions,89
2637,reason,89
2256,oil,89
484,Youre,89
569,started,89
898,point,88
800,thinking,88
189,Can,88
2081,Melania,88
944,voting,88
1539,hell,88
1669,sign,88
128,went,87
1207,build,87
3524,Who,87
1241,giving,87
1591,After,87
50,event,87
2265,took,87
3404,paid,87
3658,Crime,87
3455,results,86
1483,given,86
935,Administration,86
3193,Only,86
4462,speak,86
2334,Look,86
6134,isnt,86
1326,CelebrityApprentice,85
637,Justice,85
73,press,85
1269,lives,85
3234,beat,85
4029,J,84
795,His,84
4693,decision,84
1336,politics,83
7522,wonder,83
4336,politicians,83
3165,Russian,83
1321,open,83
2937,longer,83
5624,national,83
863,less,83
1776,allowed,83
1001,Office,83
1874,spent,82
126,released,82
1482,comes,82
1047,buy,82
1592,phony,82
540,power,82
2884,Really,82
4758,Sunday,82
7839,control,82
3641,NY,82
5175,TO,81
2263,wind,81
2269,move,81
2090,Virginia,81
2073,complete,81
1082,part,81
2409,pm,80
524,NO,80
2482,8,80
1213,Have,80
2355,presidential,80
1735,DonaldJTrumpJr,80
4844,favorite,80
214,Democrat,80
2501,protect,80
3994,International,79
203,At,79
3721,killed,79
3310,class,79
2254,2nd,79
820,wish,78
697,playing,78
3433,set,78
1644,beginning,78
3218,unemployment,78
674,men,78
95,Collusion,78
635,West,78
2425,weekend,77
2060,state,77
839,easy,77
4267,ties,77
2891,between,77
5257,Texas,77
4614,able,76
2577,Another,76
865,killing,76
1932,system,76
2076,thoughts,76
817,service,76
405,actually,76
1876,Hampshire,76
3114,race,76
1460,losers,76
7089,Vets,75
2748,healthcare,75
1794,Also,75
2838,Pennsylvania,75
1188,wife,75
1495,i,75
4672,winner,75
4764,Congrats,75
2500,turn,75
1869,hate,75
5934,absolutely,74
1436,votes,74
2502,companies,74
2607,past,74
5164,supporters,74
7179,feel,74
1980,James,74
1077,Id,74
4218,City,73
534,fully,73
49,Amazing,73
4965,statement,73
3349,Monday,73
1114,gone,72
144,Americas,72
2320,November,72
297,highly,72
1374,reporting,72
5625,came,72
1079,voted,72
3578,forget,72
2359,ask,72
742,families,72
4734,fair,71
2987,evening,71
4053,highest,71
6278,follow,71
2343,case,71
575,interesting,71
986,announced,71
1020,learn,71
4774,FOR,71
3342,along,71
3535,Israel,71
3011,loved,70
3441,taken,70
2442,fighting,70
2713,needed,70
2833,THANK,70
4517,deals,70
440,tweets,69
929,Ebola,69
2388,continues,69
6306,children,69
850,visit,69
883,7,69
3031,TrumpDoral,69
1674,700,69
3164,knew,69
537,Romney,69
1316,small,69
199,Michael,69
2698,least,69
1759,Mike,69
3764,WILL,69
2718,understand,69
2538,stories,69
3281,speaking,69
3837,built,68
4057,nation,68
522,ALL,68
1286,Run,68
469,war,68
1208,bigger,68
3377,Southern,68
58,Saturday,67
2267,dumb,67
724,California,67
1474,immediately,67
1806,Tuesday,67
3180,lose,67
1448,Club,67
2424,David,67
2470,cost,67
1888,Presidential,67
2068,respected,67
5735,todays,66
709,saw,66
260,asked,66
2543,watched,66
602,Comey,66
1649,heard,66
4115,seeing,66
884,wanted,66
3586,AND,66
2469,prices,66
449,Jobs,66
824,rather,66
6891,article,66
2175,loser,66
1354,months,65
242,positive,65
1678,enjoy,65
502,TimeToGetTough,65
1902,policy,65
2087,release,65
2357,Eric,65
1656,lies,65
4370,action,65
1677,Hope,65
2654,free,64
2905,Chris,64
1658,few,64
1459,haters,64
1827,term,64
887,create,64
3514,ran,64
1901,foreign,64
864,credit,64
302,asking,64
1311,signed,63
2421,mistake,63
2262,losing,63
2761,Amendment,63
137,Secretary,63
1232,March,63
1915,Vegas,63
2730,Hotel,63
3072,50,63
4695,Court,63
2887,possible,63
280,try,62
229,Champion,62
1681,U,62
3149,12,62
2083,charity,62
766,gas,62
2075,Endorsement,62
192,Must,62
1933,Canada,62
4245,2012,62
1659,dead,62
2105,IS,62
693,Bernie,62
1257,ABC,62
3989,son,62
2488,WE,62
2979,sense,62
1826,using,62
1825,cut,61
457,choice,61
1798,thousands,61
3886,terrific,61
2575,borders,61
572,negative,61
982,horrible,61
3115,endorsement,61
3327,number,61
5784,miss,61
2695,Birthday,61
4664,video,61
5557,entire,61
2419,starting,60
1520,waste,60
2518,raise,60
4739,nobody,60
1191,second,60
3378,Open,60
6895,Reagan,60
2781,fire,60
2373,level,60
1909,Obamacare,60
74,conference,60
358,Paul,60
418,stated,60
909,Chuck,60
3643,Well,59
2289,listen,59
6364,kind,59
1799,voters,59
1385,NOT,59
5713,Stay,59
1119,More,59
3780,large,59
3799,Mueller,59
509,Always,59
2753,Are,59
1408,etc,59
1632,Mark,59
1129,correct,59
1640,Times,59
5791,Everyone,59
2447,information,59
764,billions,59
3698,leave,59
3062,workers,59
51,Heading,59
5590,each,58
2398,Beach,58
5494,dangerous,58
963,Chinese,58
4076,Michigan,58
5656,rate,58
1245,16,58
5819,word,58
2117,exciting,58
611,Turnberry,58
1444,market,58
134,Nice,58
1236,Putin,58
2333,laws,57
2534,early,57
1357,answer,57
2682,turbines,57
4426,Bob,57
5524,allow,57
729,minutes,57
6089,OF,57
3303,waiting,57
4610,BIG,57
2655,played,57
4676,WIN,57
4386,These,56
760,destroy,56
2435,party,56
6187,Mitt,56
2645,sir,56
3671,20,56
1117,wins,56
2141,instead,56
968,Pres,56
3446,George,56
2341,Nancy,56
4913,ahead,56
5055,ads,55
5887,Even,55
763,paying,55
1085,Success,55
3669,comments,55
5555,biased,55
6008,DNC,55
2585,happened,55
6042,zero,55
7030,lie,55
2448,Of,55
4228,despite,55
2673,nuclear,55
140,budget,55
3227,interest,55
1636,NEWS,55
289,goes,55
6936,Because,55
2252,Universe,55
4088,send,55
2286,billmaher,54
3408,face,54
263,weeks,54
7706,reading,54
4117,Minister,54
9243,IN,54
1686,realdonaldtrump,54
2766,especially,54
5219,leaving,54
933,BreitbartNews,54
2211,NewsmaxMedia,54
4404,false,54
4400,13,54
6416,worked,54
574,An,54
2791,Cuts,54
3304,NOW,54
3324,television,54
4073,NEVER,54
384,matter,54
2763,Marco,54
2991,worth,54
3614,greta,54
772,met,54
2738,experience,54
2450,whole,54
1577,wouldnt,53
2148,Andrew,53
2533,warming,53
5576,meet,53
1750,death,53
2532,global,53
2796,higher,53
7176,re,53
2129,hours,53
3573,Letterman,53
3597,candidates,53
2995,3rd,53
1084,Christmas,53
2443,corrupt,53
1635,FAKE,53
3051,question,53
499,himself,53
2043,Show,53
1358,questions,53
974,twitter,53
4753,increase,53
3699,standing,53
5715,probably,53
4806,boring,52
5374,prayers,52
4791,easily,52
580,crazy,52
627,passed,52
3236,VP,52
675,advice,52
5049,Congressman,52
4514,join,52
5529,welcome,52
4213,TrumpChicago,52
3211,young,52
2176,idea,52
4694,Supreme,52
1457,message,52
3153,6,52
4090,bought,52
2274,gretawire,52
2872,final,52
967,While,52
2873,honored,52
122,Street,51
3941,birthday,51
560,caught,51
4513,Would,51
3855,safe,51
1393,rest,51
3088,primary,51
3875,Don,51
4277,Friday,51
4785,Alabama,51
1802,elected,51
2130,Too,51
3610,arent,51
6077,Nation,51
1493,views,51
99,Such,51
836,joke,51
955,Touch,51
954,Midas,51
1429,expected,51
1872,apprentice,51
3333,potential,50
5899,excited,50
239,episode,50
2191,check,50
5772,couldnt,50
3311,act,50
5053,JebBush,50
4116,Prime,50
3911,ridiculous,50
1523,youve,50
1210,WH,50
1087,failure,50
6178,Twitter,50
2870,line,50
4570,Check,50
6660,policies,50
5458,turned,50
4527,announce,50
4636,nbc,50
1917,HillaryClinton,50
1615,calling,50
2617,18,50
4621,AmericaFirst,49
4200,Give,49
3210,inspiration,49
1593,investigation,49
849,FLOTUS,49
2832,price,49
184,Bad,49
953,takes,49
4109,15,49
1747,woman,49
226,s,49
4550,means,49
5423,happening,49
2591,historic,49
671,themselves,49
1610,Year,49
1529,Kim,49
6540,unfair,49
3184,behind,49
687,Together,49
3793,Robert,49
2427,runs,48
882,billion,48
5808,across,48
4722,Palm,48
5441,nights,48
1452,Miami,48
2960,Arizona,48
450,created,48
743,Law,48
1723,hits,48
3604,books,48
2429,Pelosi,48
308,father,48
1284,AlexSalmond,47
1446,plans,47
3005,cuts,47
1561,announcement,47
3187,Government,47
5111,pass,47
3239,cast,47
2926,poor,47
3033,luxury,47
1480,safety,47
2728,named,47
4335,career,47
4235,spoke,47
4013,Yankees,47
14753,Star,47
1805,Wisconsin,47
6127,reality,47
5562,tweet,47
2242,East,47
84,Should,47
2088,records,47
194,By,47
3842,Campaign,47
7642,enforcement,47
2726,huge,47
2197,three,47
7035,side,47
