Column 1,Word,Count,Type,Overlap
9,a,19568,control,
110,the,16811,control,
100,to,9287,control,
93,,7214,control,
22,the,10051,trump,
52,to,8119,trump,
16,,7127,trump,
7,a,6101,trump,
182,amp,2045,trump,
607,Trump2016,470,trump,
1809,GREAT,394,trump,
448,FoxNews,393,trump,
1108,BarackObama,366,trump,
1935,foxandfriends,365,trump,
1626,China,346,trump,
918,Via,322,trump,
340,AMERICA,292,trump,
702,MakeAmericaGreatAgain,288,trump,
1424,CNN,283,trump,
1253,Apprentice,266,trump,
158,CelebApprentice,255,trump,
106,Fake,254,trump,
145,cont,252,trump,
1946,ObamaCare,250,trump,
1982,Border,247,trump,
1590,ApprenticeNBC,243,trump,
221,Country,242,trump,
1852,TRUMP,242,trump,
176,Crooked,218,trump,
1810,AGAIN,211,trump,
2982,MAKE,210,trump,
1339,smart,207,trump,
2122,economy,196,trump,
2656,golf,196,trump,
1578,True,191,trump,
2157,MittRomney,188,trump,
1499,fantastic,185,trump,
4846,ratings,179,trump,
2794,Dems,176,trump,
3291,Wall,174,trump,
392,tough,167,trump,
877,Iran,167,trump,
1939,numbers,166,trump,
227,Think,163,trump,
1594,FBI,163,trump,
995,poll,160,trump,
2013,IvankaTrump,157,trump,
1791,Cruz,156,trump,
2787,Obamas,156,trump,
1687,Iowa,154,trump,
669,Bush,153,trump,
325,NBC,150,trump,
1046,Korea,146,trump,
1252,Celebrity,145,trump,
317,disaster,141,trump,
447,Deal,141,trump,
2275,discussing,141,trump,
649,Tower,138,trump,
2426,Military,136,trump,
1611,Again,136,trump,
413,DonaldTrump,134,trump,
1063,Enjoy,134,trump,
2868,Entrepreneurs,133,trump,
610,Scotland,133,trump,
3292,Security,133,trump,
2451,illegal,132,trump,
870,military,132,trump,
3043,Mexico,131,trump,
1118,ISIS,130,trump,
3289,Media,129,trump,
1347,Fox,128,trump,
2769,Golf,127,trump,
690,leadership,127,trump,
315,massive,126,trump,
462,Web,126,trump,
558,candidate,126,trump,
3125,Macys,126,trump,
1180,Senator,125,trump,
802,uc0u55357,125,trump,
1690,interviewed,124,trump,
2244,WhiteHouse,121,trump,
1070,border,120,trump,
2,trump,120,trump,
771,countries,118,trump,
2380,hotel,118,trump,
765,dollars,118,trump,
48,Carolina,116,trump,
2278,Hunt,114,trump,
2277,Witch,114,trump,
1790,Many,114,trump,
1172,Governor,113,trump,
1019,polls,112,trump,
757,failing,112,trump,
275,successful,112,trump,
1399,immigration,109,trump,
2844,fix,108,trump,
685,VOTE,108,trump,
2795,taxes,107,trump,
2132,economic,107,trump,
1011,Jeb,107,trump,
446,Art,107,trump,
1757,Vote,106,trump,
467,Iraq,106,trump,
778,Trade,106,trump,
167,badly,105,trump,
1447,Doral,104,trump,
957,debt,103,trump,
1838,problems,101,trump,
355,weak,100,trump,
1406,Rubio,100,trump,
4347,focus,100,trump,
1962,seanhannity,100,trump,
1250,dishonest,100,trump,
2925,crime,99,trump,
124,Poll,99,trump,
1701,spending,99,trump,
1000,Post,98,trump,
4103,Ted,98,trump,
555,Ohio,97,trump,
2251,Miss,97,trump,
2688,General,97,trump,
586,fired,97,trump,
1484,Syria,96,trump,
287,megynkelly,95,trump,
1094,nytimes,94,trump,
2484,EricTrump,93,trump,
2813,NYC,93,trump,
1197,oreillyfactor,92,trump,
2706,tremendous,92,trump,
1411,failed,92,trump,
2790,Tax,91,trump,
2901,BarackObamas,91,trump,
86,Election,90,trump,
4061,millions,89,trump,
2256,oil,89,trump,
2081,Melania,88,trump,
3658,Crime,87,trump,
3455,results,86,trump,
935,Administration,86,trump,
1326,CelebrityApprentice,85,trump,
637,Justice,85,trump,
4029,J,84,trump,
1336,politics,83,trump,
4336,politicians,83,trump,
1001,Office,83,trump,
126,released,82,trump,
1592,phony,82,trump,
3641,NY,82,trump,
2263,wind,81,trump,
2090,Virginia,81,trump,
2355,presidential,80,trump,
1735,DonaldJTrumpJr,80,trump,
214,Democrat,80,trump,
3994,International,79,trump,
3218,unemployment,78,trump,
95,Collusion,78,trump,
4267,ties,77,trump,
865,killing,76,trump,
1876,Hampshire,76,trump,
1460,losers,76,trump,
7089,Vets,75,trump,
2748,healthcare,75,trump,
2838,Pennsylvania,75,trump,
1436,votes,74,trump,
2502,companies,74,trump,
5164,supporters,74,trump,
534,fully,73,trump,
49,Amazing,73,trump,
4965,statement,73,trump,
144,Americas,72,trump,
2320,November,72,trump,
297,highly,72,trump,
1374,reporting,72,trump,
4734,fair,71,trump,
4053,highest,71,trump,
3535,Israel,71,trump,
2833,THANK,70,trump,
4517,deals,70,trump,
929,Ebola,69,trump,
